0
0 0 0
1 5.79092e+07 0
2 1.08209e+08 0
3 1.49598e+08 0
4 2.27937e+08 0
1
0 1.32284e-14 0
1 5.79092e+07 47350
2 1.08209e+08 -35020
3 1.49598e+08 29783
4 2.27937e+08 24077
2
0 5.29134e-14 1.61056e-18
1 5.79092e+07 94700
2 1.08209e+08 0
3 1.49598e+08 59566
4 2.27937e+08 48154
3
0 1.32284e-13 9.75704e-18
1 5.79092e+07 142050
2 1.08209e+08 35020
3 1.49598e+08 89349
4 2.27937e+08 72231
4
0 2.64567e-13 3.26796e-17
1 5.79092e+07 189400
2 1.08209e+08 70040
3 1.49598e+08 119132
4 2.27937e+08 96308
5
0 4.62993e-13 8.19332e-17
1 5.79092e+07 236750
2 1.08209e+08 105060
3 1.49598e+08 148915
4 2.27937e+08 120385
6
0 7.40788e-13 1.72388e-16
1 5.79092e+07 284100
2 1.08209e+08 140080
3 1.49598e+08 178698
4 2.27937e+08 144462
7
0 1.11118e-12 3.22227e-16
1 5.79092e+07 331450
2 1.08209e+08 175100
3 1.49598e+08 208481
4 2.27937e+08 168539
8
0 1.5874e-12 5.52951e-16
1 5.79092e+07 378800
2 1.08209e+08 210120
3 1.49598e+08 238264
4 2.27937e+08 192616
9
0 2.18268e-12 8.89374e-16
1 5.79092e+07 426150
2 1.08209e+08 245140
3 1.49598e+08 268047
4 2.27937e+08 216693
